PAPEL	SEGMENTO	COTAÇÃO	FFO YIELD	DIVIDEND YIELD	P/VP	VALOR DE MERCADO	LIQUIDEZ	QTD DE IMÓVEIS	PREÇO DO M2	ALUGUEL POR M2	CAP RATE	VACÂNCIA MÉDIA
FVBI11	Lajes Corporativas	159,71	0,00%	0,00%	0,00	0	0	1	0,00	636,95	0,00%	0,00%	""
FVPQ11	Shoppings	43,93	17,95%	14,03%	0,25	123.011.000	124.432	1	2.145,62	852,69	39,74%	13,10%	""
FZDA11	Outros	128,99	0,80%	0,81%	0,75	199.934.000	55.665	6	2,29	0,03	1,49%	0,00%	""
FZDB11	Outros	123,95	3,27%	3,05%	0,74	446.220.000	2.818	16	3,25	0,13	3,88%	0,00%	""
GALG11	Híbrido	9,08	5,71%	0,00%	0,98	1.338.920.000	0	4	324,92	30,58	9,41%	0,00%	""
GAME11	Outros	8,11	9,92%	13,17%	0,88	175.968.000	90.631	0	0,00	0,00	0,00%	0,00%	""
GARE11	Híbrido	7,92	6,55%	13,18%	0,85	1.167.870.000	6.228.160	4	283,41	30,58	10,79%	0,00%	""
GCFF11	Títulos e Val. Mob.	69,30	12,04%	0,00%	0,89	24.981.100	0	0	0,00	0,00	0,00%	0,00%	""
GCOI11	Híbrido	98,99	-2,14%	0,00%	1,05	11.185.900	3.610	5	5.870,69	0,00	0,00%	0,00%	""
GCRA11	Títulos e Val. Mob.	45,28	20,64%	18,71%	0,54	79.279.200	182.236	0	0,00	0,00	0,00%	0,00%	""
GCRI11	Títulos e Val. Mob.	57,57	14,48%	18,22%	0,66	83.698.700	144.286	1	717,53	0,00	0,00%	0,00%	""
GESE11B	Outros	1.520,00	11,39%	0,00%	1,36	79.040.000	0	1	0,00	725,37	0,00%	0,00%	""
GGRC11	Logística	9,18	9,54%	7,45%	0,81	971.269.000	2.458.720	13	1.165,48	144,15	12,37%	0,00%	""
GLOG11	Logística	47,16	21,78%	12,43%	0,44	35.370.000	25.834	1	492,81	134,42	27,28%	0,00%	""
GRLV11	Logística	145,50	5,72%	0,00%	24,38	156.199.000	0	1	0,00	183,00	0,00%	3,69%	""
GRWA11	Títulos e Val. Mob.	8,48	11,48%	15,38%	0,85	23.392.000	11.743	0	0,00	0,00	0,00%	0,00%	""
GSFI11	Shoppings	7,16	0,00%	0,00%	0,56	688.124.000	1.539.830	0	0,00	0,00	0,00%	0,00%	""
GTLG11	Logística	63,99	13,75%	0,00%	0,70	459.000.000	0	5	2.714,27	318,12	11,72%	1,69%	""
GTWR11	Lajes Corporativas	67,15	14,51%	14,08%	0,68	805.800.000	733.998	3	4.856,65	758,77	15,62%	0,00%	""
GURB11	Híbrido	108,00	10,46%	0,00%	0,94	122.597.000	0	2	21.734,60	2.369,56	10,90%	9,70%	""
GWIR11	Shoppings	175,99	2,80%	0,00%	0,74	67.231.200	0	0	0,00	0,00	4,21%	0,00%	""
GZIT11	Híbrido	43,41	-0,27%	21,22%	0,47	948.128.000	595.430	4	9.441,75	1.302,24	13,79%	3,07%	""
HAAA11	Lajes Corporativas	25,21	10,89%	7,24%	0,34	87.100.600	166	2	6.654,40	1.132,37	17,02%	17,41%	""
HABT11	Títulos e Val. Mob.	70,99	15,83%	18,93%	0,76	576.920.000	1.193.230	0	0,00	0,00	0,00%	0,00%	""
HBCR11	Outros	138,00	7,79%	14,69%	1,10	220.800.000	4.323.460	2	2.172,42	430,16	19,80%	0,00%	""
HBRH11	Híbrido	90,80	4,63%	0,00%	0,81	256.345.000	0	5	8.348,44	606,90	7,27%	2,83%	""
